,Home Spread,Home_win,Away-ATS
254,-13.0,1.0,41
255,-1.5,1.0,36
256,-5.0,0.0,53
257,0.0,0.0,43
258,13.0,0.0,82
259,-3.0,0.0,50
260,-14.0,1.0,32
261,-9.0,0.0,37
262,3.0,1.0,75
263,-3.5,1.0,66
264,-7.5,1.0,46
265,-14.0,1.0,16
266,-17.0,1.0,27
267,-8.5,0.0,38
268,-10.0,1.0,27
269,5.5,0.0,77
270,3.0,0.0,67
271,-2.5,1.0,45
272,6.0,1.0,71
273,-3.5,1.0,28
274,-14.0,0.0,21
275,-3.5,1.0,35
276,-7.5,0.0,41
277,7.5,1.0,72
278,1.5,1.0,70
279,3.5,0.0,64
280,-10.5,1.0,30
281,3.0,1.0,72
282,-3.0,1.0,44
283,6.0,1.0,61
284,-6.5,0.0,28
285,1.0,1.0,63
286,-3.5,1.0,51
287,-1.0,1.0,63
288,-6.0,1.0,38
289,-5.5,1.0,48
290,7.5,1.0,60
291,-3.5,0.0,49
292,-3.0,0.0,65
293,-3.5,0.0,50
294,-3.0,0.0,41
295,-3.0,1.0,52
296,2.0,0.0,55
297,-1.5,1.0,42
298,-6.0,1.0,38
299,-2.0,0.0,32
300,-3.0,0.0,43
301,-2.5,0.0,57
302,-5.5,1.0,42
303,1.5,0.0,65
304,-3.0,0.0,45
305,-10.0,,29
306,-1.0,0.0,60
307,7.0,1.0,60
308,1.0,1.0,66
309,-2.5,1.0,57
310,-1.5,0.0,62
311,-3.0,1.0,29
312,3.0,0.0,61
313,-10.0,0.0,54
314,7.0,1.0,55
315,3.0,1.0,58
316,2.5,0.0,60
317,-3.5,0.0,50
318,-7.5,1.0,31
319,9.0,1.0,68
320,-14.0,0.0,33
321,-6.0,1.0,52
322,3.0,1.0,79
323,-5.0,0.0,40
324,-10.5,0.0,50
325,2.5,1.0,55
326,-3.5,0.0,38
327,-3.0,0.0,44
328,-13.5,0.0,31
329,-9.0,0.0,30
330,1.0,0.0,63
331,3.0,1.0,71
332,-6.5,0.0,29
333,2.0,0.0,72
334,-3.5,0.0,46
335,3.0,0.0,45
336,-5.0,0.0,49
337,-7.0,1.0,36
338,3.5,0.0,69
339,-3.5,0.0,41
340,-2.5,0.0,57
341,1.5,1.0,44
342,-6.5,1.0,25
343,5.5,1.0,63
344,3.0,0.0,65
345,-5.5,1.0,46
346,-3.0,,37
347,-3.0,,33
348,2.5,1.0,77
349,3.5,0.0,59
350,-3.0,1.0,47
351,-4.0,1.0,43
352,3.5,0.0,59
353,0.0,1.0,63
354,-4.0,0.0,30
355,-5.0,1.0,45
356,-7.5,1.0,42
357,-3.0,1.0,57
358,4.0,0.0,67
359,-8.5,1.0,36
360,-9.0,0.0,31
361,-8.5,1.0,40
362,1.0,0.0,70
363,-3.0,0.0,58
364,-3.5,0.0,32
365,2.5,1.0,41
366,3.5,0.0,65
367,2.5,1.0,61
368,-7.5,0.0,56
369,2.5,0.0,52
370,11.0,0.0,67
371,-8.5,0.0,34
372,6.5,1.0,63
373,-1.5,0.0,68
374,-13.0,1.0,37
375,-1.5,1.0,58
376,-11.0,0.0,45
377,-6.5,1.0,36
378,3.0,0.0,64
379,3.0,0.0,57
380,13.5,0.0,73
381,-7.0,1.0,32
382,-3.0,0.0,58
383,0.0,1.0,62
384,-3.5,1.0,56
385,-10.0,0.0,38
386,-2.5,0.0,44
387,7.0,0.0,73
388,3.5,0.0,79
389,-5.5,0.0,35
390,1.5,0.0,62
391,-6.0,,28
392,-1.0,0.0,44
393,3.0,1.0,62
394,-7.0,1.0,41
395,-5.5,1.0,43
396,3.5,1.0,61
397,-6.0,1.0,33
398,1.0,0.0,67
399,-7.5,1.0,26
400,3.0,0.0,51
401,-10.0,0.0,24
402,-6.5,1.0,51
403,0.0,1.0,56
404,-3.0,0.0,48
405,-3.0,,40
406,-3.0,1.0,31
407,-2.0,0.0,44
408,-7.0,0.0,32
409,-6.5,0.0,33
410,3.0,1.0,56
411,-7.0,0.0,41
412,6.0,0.0,65
413,-6.5,0.0,33
414,1.0,1.0,66
415,-3.0,0.0,33
416,1.0,1.0,69
417,1.0,0.0,46
418,-13.0,0.0,39
419,18.0,0.0,60
420,6.0,0.0,73
421,-7.0,0.0,42
422,-4.0,0.0,49
423,-1.0,0.0,45
424,-3.0,1.0,52
425,7.0,0.0,67
426,-2.0,1.0,48
427,3.0,1.0,61
428,1.0,1.0,57
429,-6.0,0.0,40
430,-5.5,1.0,56
431,1.5,1.0,69
432,7.5,0.0,77
433,3.0,1.0,79
434,-4.0,0.0,59
435,-3.0,0.0,40
436,3.0,1.0,70
437,-9.5,0.0,35
438,-11.0,1.0,41
439,2.0,1.0,71
440,-6.0,0.0,44
441,-3.0,1.0,65
442,6.5,0.0,62
443,-4.5,1.0,56
444,1.5,1.0,66
445,-3.0,1.0,38
446,-6.5,0.0,41
447,-3.0,1.0,44
448,-10.0,0.0,28
449,-1.5,0.0,49
450,-5.5,1.0,49
451,-6.0,0.0,44
452,-3.0,1.0,54
453,2.5,1.0,62
454,-16.5,0.0,28
455,-6.0,1.0,37
456,-7.0,1.0,44
457,5.5,1.0,64
458,7.0,1.0,79
459,-1.0,0.0,47
460,-7.0,,52
461,-6.5,1.0,45
462,1.0,0.0,43
463,-3.5,0.0,49
464,-9.0,1.0,40
465,-2.5,0.0,49
466,-7.5,1.0,33
467,-3.0,1.0,49
468,3.0,1.0,72
469,3.5,1.0,67
470,-2.5,1.0,36
471,-10.0,0.0,26
472,3.0,0.0,59
473,-3.0,0.0,47
